Time (h),OD 600,Product (kg),Time (h).1,DO (%),Glucose Delivered (kg),Feed Delivered (kg),CER (mmol/L*hr),Vessel Weight (kg),pH,Temperature (C),Agitation (RPM),Base Weight (kg),Vessel Volume (L),Time (h).2,Glucose (g/L),Dry Cell Weight (g/L),Product Concentration (g/L),Productivity (g/L/h),Yield (%)
,,,0.5,97.61,1.29,0.0,0.25,65.05,8.96,34.39,124.86,0.0,70.06,,,,,,
,,,0.52,114.2,0.76,0.0,0.34,62.64,7.02,39.61,108.13,0.0,65.24,,,,,,
,,,0.53,86.22,0.76,0.0,0.33,63.96,8.39,34.19,153.25,0.0,62.91,,,,,,
,,,0.55,93.05,0.86,0.0,0.29,64.88,8.12,42.43,118.14,0.0,77.33,,,,,,
,,,0.57,112.53,0.64,0.0,0.29,58.65,7.3,29.78,130.73,0.0,62.01,,,,,,
,,,0.58,96.66,0.95,0.0,0.2,45.52,7.84,32.52,104.77,0.0,61.96,,,,,,
,,,0.6,94.35,1.0,0.0,0.22,61.43,6.4,42.13,113.79,0.0,56.97,,,,,,
,,,0.62,94.84,0.9,0.0,0.26,66.61,8.76,28.72,130.47,0.0,64.78,,,,,,
,,,0.63,120.18,0.95,0.0,0.27,66.34,6.82,32.25,118.79,0.0,69.25,,,,,,
,,,0.65,106.64,0.86,0.0,0.32,62.25,7.44,36.82,131.28,0.0,43.86,,,,,,
,,,0.67,110.62,0.97,0.0,0.29,71.0,7.7,49.17,99.11,0.0,78.93,,,,,,
,,,0.68,107.01,0.84,0.0,0.26,68.05,6.48,32.85,150.19,0.0,66.26,,,,,,
,,,0.7,122.37,0.95,0.0,0.34,51.81,6.55,28.6,129.51,0.0,86.81,,,,,,
,,,0.72,90.46,0.85,0.0,0.34,52.88,7.01,30.7,158.44,0.0,89.74,,,,,,
,,,0.73,80.43,0.69,0.0,0.33,79.88,6.27,39.26,141.81,0.0,78.39,,,,,,
,,,0.75,91.81,0.92,0.0,0.24,69.55,7.61,38.86,127.3,0.0,76.74,,,,,,
,,,0.77,103.95,0.87,0.0,0.26,63.27,8.14,30.16,158.91,0.0,63.67,,,,,,
,,,0.78,89.29,0.81,0.0,0.28,74.0,10.14,39.24,129.68,0.0,61.51,,,,,,
,,,0.8,101.47,1.05,0.0,0.31,75.25,8.07,43.31,125.04,0.0,71.11,,,,,,
,,,0.82,108.52,0.81,0.0,0.31,57.52,7.47,40.92,143.45,0.0,76.81,,,,,,
,,,0.83,117.01,0.95,0.0,0.26,56.01,8.24,33.08,134.0,0.0,68.57,,,,,,
,,,0.85,96.84,0.85,0.0,0.31,64.39,7.62,33.26,118.85,0.0,68.81,,,,,,
,,,0.87,93.51,0.99,0.0,0.31,45.75,7.87,33.91,145.03,0.0,73.48,,,,,,
,,,0.88,93.33,0.98,0.0,0.32,46.13,6.32,40.38,121.95,0.0,61.7,,,,,,
,,,0.9,97.81,0.74,0.0,0.28,52.61,8.22,39.0,110.46,0.0,66.06,,,,,,
,,,0.92,105.13,0.81,0.0,0.31,51.65,5.66,37.67,145.37,0.0,73.75,,,,,,
,,,0.93,62.45,1.0,0.0,0.31,72.32,7.84,35.82,96.87,0.0,70.89,,,,,,
,,,0.95,91.79,0.82,0.0,0.36,73.94,5.84,36.17,118.5,0.0,74.32,,,,,,
,,,0.97,103.01,0.89,0.0,0.28,62.34,8.23,35.38,128.4,0.0,55.14,,,,,,
,,,0.98,83.07,1.01,0.0,0.32,62.3,7.3,32.39,150.79,0.0,57.41,,,,,,
,,,1.0,76.88,0.91,0.0,0.34,59.25,9.42,33.79,149.58,0.0,70.07,,,,,,
,,,1.02,83.7,0.92,0.0,0.34,72.34,7.33,43.93,128.49,0.0,61.62,,,,,,
,,,1.03,97.47,0.86,0.0,0.35,55.98,7.24,29.3,160.78,0.01,71.06,,,,,,
,,,1.05,99.33,0.87,0.0,0.33,59.9,8.77,35.6,154.44,0.01,60.44,,,,,,
,,,1.07,78.23,0.85,0.0,0.3,83.79,9.35,30.23,127.72,0.01,64.12,,,,,,
,,,1.08,94.87,0.87,0.0,0.42,71.77,7.58,38.56,124.18,0.01,60.11,,,,,,
,,,1.1,101.92,1.07,0.0,0.29,70.25,7.53,43.71,115.51,0.01,72.55,,,,,,
,,,1.12,67.79,1.34,0.0,0.33,72.79,7.32,36.74,147.2,0.01,60.57,,,,,,
,,,1.13,104.8,0.91,0.0,0.25,61.71,8.34,39.49,103.9,0.01,67.35,,,,,,
,,,1.15,84.07,0.97,0.0,0.3,75.9,8.24,30.3,151.4,0.01,78.4,,,,,,
,,,1.17,95.89,0.97,0.0,0.33,59.27,9.12,49.65,130.65,0.01,64.4,,,,,,
,,,1.18,77.42,1.11,0.0,0.28,61.08,7.36,39.97,154.48,0.01,63.35,,,,,,
,,,1.2,111.91,0.84,0.0,0.31,55.86,6.48,40.51,121.19,0.01,67.58,,,,,,
,,,1.22,81.74,0.86,0.0,0.38,61.19,7.35,42.82,140.72,0.01,48.16,,,,,,
,,,1.23,76.8,0.89,0.0,0.33,80.33,8.71,50.62,160.47,0.01,46.06,,,,,,
,,,1.25,109.4,0.86,0.0,0.32,57.55,9.44,33.46,156.9,0.01,60.75,,,,,,
,,,1.27,98.01,1.0,0.0,0.27,60.23,8.95,42.82,119.0,0.01,60.18,,,,,,
,,,1.28,101.04,1.02,0.0,0.27,75.53,6.5,38.53,133.41,0.01,54.92,,,,,,
,,,1.3,99.76,0.96,0.0,0.32,59.04,6.23,36.32,145.91,0.01,84.93,,,,,,
,,,1.32,96.14,0.68,0.0,0.38,61.55,6.94,30.02,124.19,0.01,66.81,,,,,,
,,,1.33,74.74,0.96,0.0,0.28,59.92,9.18,43.99,129.95,0.01,62.85,,,,,,
,,,1.35,74.91,0.88,0.0,0.35,68.37,11.13,40.91,125.25,0.01,73.37,,,,,,
,,,1.37,104.6,0.95,0.0,0.44,67.16,7.23,33.84,121.27,0.01,83.23,,,,,,
,,,1.38,123.42,0.87,0.0,0.43,36.9,8.69,38.55,142.81,0.01,58.07,,,,,,
,,,1.4,75.89,0.98,0.0,0.33,85.64,6.97,39.81,135.56,0.01,61.38,,,,,,
,,,1.42,95.78,0.94,0.0,0.34,76.68,7.09,37.58,133.64,0.03,51.14,,,,,,
,,,1.43,110.88,0.81,0.0,0.33,72.23,6.04,39.71,181.63,0.03,72.29,,,,,,
,,,1.45,87.85,0.63,0.0,0.4,63.18,6.92,33.05,124.32,0.03,59.93,,,,,,
,,,1.47,98.46,0.89,0.0,0.37,79.84,8.08,34.35,141.77,0.04,53.8,,,,,,
,,,1.48,62.79,0.99,0.0,0.39,54.6,6.22,36.01,131.16,0.03,64.65,,,,,,
,,,1.5,81.94,1.01,0.0,0.34,62.28,8.74,36.32,117.07,0.03,54.5,,,,,,
,,,1.52,84.45,0.96,0.0,0.34,60.48,9.42,32.02,115.0,0.03,64.97,,,,,,
,,,1.53,124.81,1.07,0.0,0.36,64.09,5.9,40.17,142.25,0.03,45.28,,,,,,
,,,1.55,82.11,0.98,0.0,0.44,72.73,8.03,37.13,123.58,0.03,56.15,,,,,,
,,,1.57,99.08,1.13,0.0,0.43,71.4,7.85,41.83,140.55,0.03,64.23,,,,,,
,,,1.58,101.97,0.95,0.0,0.27,70.32,8.71,25.6,134.62,0.03,78.2,,,,,,
,,,1.6,75.13,0.73,0.0,0.42,65.49,5.6,33.23,122.82,0.03,62.83,,,,,,
,,,1.62,93.74,0.95,0.0,0.4,69.42,7.59,31.54,130.51,0.04,81.57,,,,,,
,,,1.63,104.12,1.03,0.0,0.41,45.37,6.48,32.3,107.66,0.03,64.14,,,,,,
,,,1.65,92.27,0.91,0.0,0.42,65.6,8.53,31.19,164.89,0.03,62.5,,,,,,
,,,1.67,88.71,0.75,0.0,0.53,40.11,7.21,43.14,125.08,0.03,72.84,,,,,,
,,,1.68,85.42,0.8,0.0,0.45,71.6,8.7,38.49,136.35,0.02,65.69,,,,,,
,,,1.7,79.41,0.98,0.0,0.34,53.55,5.13,35.06,124.48,0.03,71.06,,,,,,
,,,1.72,98.0,0.86,0.0,0.43,71.19,8.79,39.4,139.93,0.03,67.14,,,,,,
,,,1.73,104.64,0.92,0.0,0.39,70.98,8.34,36.97,120.49,0.02,58.79,,,,,,
,,,1.75,82.34,1.04,0.0,0.4,84.2,6.74,32.09,114.54,0.03,52.16,,,,,,
,,,1.77,79.88,0.71,0.0,0.46,73.11,8.95,35.45,140.42,0.02,75.14,,,,,,
,,,1.78,112.03,0.81,0.0,0.57,68.46,8.94,39.33,143.21,0.03,68.33,,,,,,
,,,1.8,87.89,0.94,0.0,0.38,64.61,6.93,32.84,132.61,0.03,58.86,,,,,,
,,,1.82,84.25,1.04,0.0,0.45,62.14,8.01,33.48,128.52,0.03,47.97,,,,,,
,,,1.83,106.39,0.95,0.0,0.36,65.91,7.01,33.23,113.82,0.03,56.02,,,,,,
,,,1.85,66.7,0.88,0.0,0.47,63.27,9.67,41.2,134.2,0.03,60.53,,,,,,
,,,1.87,101.4,0.96,0.0,0.36,72.15,4.97,42.28,144.28,0.03,69.45,,,,,,
,,,1.88,86.85,1.06,0.0,0.52,77.5,7.53,38.42,109.92,0.04,78.19,,,,,,
,,,1.9,85.46,0.94,0.0,0.36,72.29,7.6,28.8,137.4,0.03,53.34,,,,,,
,,,1.92,90.29,0.77,0.0,0.45,74.36,7.96,32.6,138.77,0.03,74.92,,,,,,
,,,1.93,54.87,1.08,0.0,0.5,62.69,8.25,32.71,124.26,0.03,83.12,,,,,,
,,,1.95,62.62,0.59,0.0,0.45,77.35,6.6,32.61,93.35,0.04,62.65,,,,,,
,,,1.97,94.43,1.14,0.0,0.33,47.71,6.82,42.71,120.37,0.03,80.17,,,,,,
,,,1.98,87.12,0.99,0.0,0.42,65.58,7.62,34.52,105.21,0.03,47.17,,,,,,
,,,2.0,96.32,0.9,0.0,0.4,57.58,9.19,42.01,108.92,0.03,73.46,,,,,,
,,,2.02,90.99,0.84,0.0,0.41,63.11,7.1,28.61,136.35,0.03,78.72,,,,,,
,,,2.03,85.9,0.82,0.0,0.4,56.08,7.55,35.02,144.22,0.03,82.93,,,,,,
,,,2.05,78.72,1.04,0.0,0.49,73.83,6.37,40.73,151.08,0.03,68.74,,,,,,
,,,2.07,89.53,0.71,0.0,0.35,60.09,5.16,44.44,127.08,0.03,64.01,,,,,,
,,,2.08,82.69,0.58,0.0,0.38,67.02,9.09,35.82,140.7,0.03,59.06,,,,,,
,,,2.1,91.83,1.01,0.0,0.39,73.08,6.22,33.46,124.4,0.03,68.47,,,,,,
,,,2.12,110.56,0.99,0.0,0.49,54.76,6.48,40.93,124.28,0.03,69.1,,,,,,
,,,2.13,99.2,0.97,0.0,0.46,72.08,6.39,35.31,91.18,0.03,72.58,,,,,,
,,,2.15,85.37,0.87,0.0,0.43,62.14,7.76,30.66,113.41,0.03,71.05,,,,,,
,,,2.17,107.59,0.75,0.0,0.36,56.44,7.28,39.43,157.11,0.03,54.65,,,,,,
,,,2.18,86.67,0.91,0.0,0.5,68.05,8.48,29.07,133.02,0.03,55.92,,,,,,
,,,2.2,100.08,0.87,0.0,0.49,89.12,6.99,36.88,159.52,0.02,71.79,,,,,,
,,,2.22,63.1,0.95,0.0,0.47,76.67,7.25,31.88,109.16,0.02,68.46,,,,,,
,,,2.23,74.87,0.79,0.0,0.45,69.92,6.69,37.4,148.86,0.01,72.21,,,,,,
,,,2.25,94.0,0.81,0.0,0.4,62.08,7.48,38.03,145.09,0.0,59.03,,,,,,
,,,2.27,93.68,1.05,0.0,0.51,58.35,7.02,35.46,145.19,0.01,46.85,,,,,,
,,,2.28,81.68,0.8,0.0,0.53,84.4,4.92,37.78,152.5,0.02,51.17,,,,,,
,,,2.3,104.4,0.88,0.0,0.45,68.2,6.38,32.57,205.35,0.02,53.34,,,,,,
,,,2.32,99.78,0.77,0.0,0.48,57.98,6.55,39.32,112.16,0.02,64.79,,,,,,
,,,2.33,78.66,1.06,0.0,0.39,57.53,8.07,37.51,126.04,0.02,65.75,,,,,,
,,,2.35,66.86,0.85,0.0,0.41,63.95,6.83,41.77,118.33,0.02,84.49,,,,,,
,,,2.37,81.51,0.87,0.0,0.62,55.75,7.78,39.61,140.03,0.02,74.4,,,,,,
,,,2.38,81.21,0.95,0.0,0.41,57.37,6.89,36.65,133.01,0.02,83.27,,,,,,
,,,2.4,95.7,1.01,0.0,0.55,80.59,6.3,35.11,121.35,0.02,65.93,,,,,,
,,,2.42,86.6,1.07,0.0,0.42,55.69,7.36,42.41,145.12,0.02,69.83,,,,,,
,,,2.43,89.98,0.87,0.0,0.42,67.65,7.66,37.32,157.34,0.02,60.39,,,,,,
,,,2.45,92.64,1.09,0.0,0.53,65.17,6.84,32.51,147.28,0.02,77.03,,,,,,
,,,2.47,91.57,0.74,0.0,0.54,61.0,5.0,39.88,145.06,0.02,57.79,,,,,,
,,,2.48,101.5,0.9,0.0,0.59,60.19,7.03,43.71,137.47,0.02,83.13,,,,,,
,,,2.5,100.68,1.0,0.0,0.47,73.15,7.02,33.03,94.14,0.02,66.28,,,,,,
,,,2.52,92.19,0.98,0.0,0.49,66.83,6.53,35.16,146.62,0.02,55.38,,,,,,
,,,2.53,82.81,0.81,0.0,0.48,78.64,5.6,31.26,146.91,0.02,65.6,,,,,,
,,,2.55,99.49,0.96,0.0,0.42,72.47,7.38,44.52,120.48,0.02,68.32,,,,,,
,,,2.57,75.23,1.02,0.0,0.58,55.7,6.65,37.23,109.22,0.02,73.25,,,,,,
,,,2.58,84.46,0.8,0.0,0.5,55.62,8.35,37.74,123.42,0.02,67.15,,,,,,
,,,2.6,84.77,0.99,0.0,0.52,66.38,7.1,42.82,153.26,0.02,76.66,,,,,,
,,,2.62,79.53,1.09,0.0,0.4,58.97,7.17,28.18,118.91,0.02,54.5,,,,,,
,,,2.63,75.86,0.98,0.0,0.51,73.44,7.33,40.62,111.78,0.02,53.79,,,,,,
,,,2.65,102.17,0.93,0.0,0.58,73.0,7.39,31.96,82.33,0.02,80.47,,,,,,
,,,2.67,87.9,1.0,0.0,0.44,73.34,7.68,37.54,113.25,0.02,73.3,,,,,,
,,,2.68,62.72,0.93,0.0,0.43,65.21,5.73,44.62,117.12,0.02,80.36,,,,,,
,,,2.7,103.59,0.97,0.0,0.59,61.38,4.95,35.17,150.66,0.0,64.56,,,,,,
,,,2.72,93.26,0.94,0.0,0.5,56.43,8.35,36.96,116.51,0.0,61.52,,,,,,
,,,2.73,93.28,0.91,0.0,0.58,60.48,5.46,36.17,125.55,0.0,59.85,,,,,,
,,,2.75,77.21,0.71,0.0,0.59,64.46,7.44,34.13,139.23,0.0,62.13,,,,,,
,,,2.77,73.22,1.0,0.0,0.59,75.64,6.42,34.28,145.23,0.0,56.44,,,,,,
,,,2.78,82.11,0.68,0.0,0.54,67.16,6.68,40.48,124.06,0.0,65.87,,,,,,
,,,2.8,101.57,0.94,0.0,0.64,57.66,6.93,32.9,140.08,0.0,60.8,,,,,,
,,,2.82,86.22,1.07,0.0,0.51,56.65,7.25,39.64,122.09,0.0,61.01,,,,,,
,,,2.83,77.06,0.89,0.0,0.63,78.12,9.71,40.68,151.09,0.0,65.44,,,,,,
,,,2.85,69.64,1.01,0.0,0.52,62.32,6.52,51.94,118.31,0.0,68.77,,,,,,
,,,2.87,69.73,0.91,0.0,0.51,58.01,6.35,40.15,124.58,0.0,63.32,,,,,,
,,,2.88,109.53,0.89,0.0,0.75,65.95,6.99,39.75,149.11,0.0,58.37,,,,,,
,,,2.9,62.5,0.72,0.0,0.51,75.19,6.88,30.21,144.05,0.0,65.0,,,,,,
,,,2.92,74.49,0.78,0.0,0.42,72.04,7.34,35.32,142.43,0.0,60.46,,,,,,
,,,2.93,62.96,0.92,0.0,0.57,63.08,6.62,26.15,108.77,0.0,56.46,,,,,,
,,,2.95,87.82,0.86,0.0,0.39,50.45,8.12,39.31,137.22,0.0,84.55,,,,,,
,,,2.97,96.41,1.03,0.0,0.72,57.66,7.21,36.66,116.42,0.0,67.54,,,,,,
,,,2.98,94.77,0.98,0.0,0.66,43.74,7.99,35.83,150.28,0.0,71.08,,,,,,
,,,3.0,70.76,1.04,0.0,0.44,62.11,8.32,36.13,122.4,0.0,56.13,,,,,,
,,,3.02,108.32,0.99,0.0,0.47,50.27,6.32,34.83,130.19,0.0,69.79,,,,,,
,,,3.03,81.18,0.8,0.0,0.49,48.11,9.03,42.76,121.56,0.0,66.67,,,,,,
,,,3.05,79.61,0.94,0.0,0.47,49.05,6.56,32.59,133.38,0.0,76.52,,,,,,
,,,3.07,91.75,0.73,0.0,0.38,57.11,9.04,38.25,129.2,0.0,66.51,,,,,,
,,,3.08,87.56,0.84,0.0,0.54,62.32,8.38,36.19,159.81,0.0,62.29,,,,,,
,,,3.1,94.13,0.73,0.0,0.52,65.25,5.07,35.88,133.79,0.0,52.02,,,,,,
,,,3.12,85.39,1.04,0.0,0.48,63.45,6.11,34.15,129.53,0.0,66.64,,,,,,
,,,3.13,74.23,1.13,0.0,0.55,67.44,6.18,38.87,98.29,0.0,70.59,,,,,,
,,,3.15,88.34,1.1,0.0,0.57,46.07,7.12,42.74,102.77,0.0,66.77,,,,,,
,,,3.17,93.77,0.75,0.0,0.5,44.2,8.63,34.7,108.67,0.0,67.72,,,,,,
,,,3.18,84.97,0.98,0.0,0.46,61.08,8.32,37.12,138.14,0.0,54.09,,,,,,
,,,3.2,90.32,0.95,0.0,0.6,86.82,7.33,37.26,120.94,0.0,65.43,,,,,,
,,,3.22,70.22,0.66,0.0,0.59,60.28,7.89,41.65,136.92,0.0,57.19,,,,,,
,,,3.23,101.6,0.87,0.0,0.62,58.43,6.85,44.5,127.92,0.0,73.14,,,,,,
,,,3.25,95.86,0.62,0.0,0.5,54.82,7.84,35.13,162.12,0.0,69.88,,,,,,
,,,3.27,67.16,1.05,0.0,0.59,67.24,7.22,38.49,130.44,0.0,69.96,,,,,,
,,,3.28,81.78,0.95,0.0,0.59,55.32,8.47,39.93,124.28,0.0,55.07,,,,,,
,,,3.3,66.03,1.25,0.0,0.59,62.09,6.43,44.75,139.85,0.0,75.79,,,,,,
,,,3.32,96.25,1.01,0.0,0.55,50.33,7.57,32.44,147.12,0.0,69.22,,,,,,
,,,3.33,63.83,1.28,0.0,0.71,74.84,5.33,30.03,116.49,0.0,77.75,,,,,,
,,,3.35,118.79,0.76,0.0,0.65,69.01,7.36,38.42,107.25,0.0,79.05,,,,,,
,,,3.37,81.15,1.12,0.0,0.68,82.15,5.34,33.36,132.46,0.0,69.71,,,,,,
,,,3.38,56.71,1.1,0.0,0.71,59.85,6.46,28.9,175.28,0.0,73.31,,,,,,
,,,3.4,83.32,0.92,0.0,0.58,72.01,6.77,35.2,140.92,0.0,70.6,,,,,,
,,,3.42,73.64,0.91,0.0,0.43,64.18,7.87,50.88,152.97,0.0,63.29,,,,,,
,,,3.43,65.1,1.03,0.0,0.78,72.49,6.39,40.63,124.68,0.0,64.76,,,,,,
,,,3.45,71.09,0.92,0.0,0.48,54.8,7.37,33.56,139.69,0.0,49.9,,,,,,
,,,3.47,96.33,0.92,0.0,0.65,57.81,10.1,34.73,146.06,0.01,56.49,,,,,,
,,,3.48,76.53,0.82,0.0,0.5,67.95,6.01,36.1,130.16,0.01,62.58,,,,,,
,,,3.5,72.22,1.1,0.0,0.52,81.44,6.31,39.16,123.51,0.01,63.37,,,,,,
,,,3.52,74.37,0.97,0.0,0.7,63.67,6.73,38.51,143.81,0.01,70.08,,,,,,
,,,3.53,77.42,0.75,0.0,0.49,69.27,7.99,39.26,112.8,0.01,67.57,,,,,,
,,,3.55,74.62,0.72,0.0,0.5,55.32,5.68,33.83,135.22,0.01,43.69,,,,,,
,,,3.57,86.32,0.86,0.0,0.69,64.4,6.0,39.11,135.71,0.01,70.6,,,,,,
,,,3.58,73.04,0.91,0.0,0.62,58.14,6.37,41.29,126.12,0.01,62.44,,,,,,
,,,3.6,61.14,0.95,0.0,0.57,67.44,6.73,35.49,131.3,0.01,64.23,,,,,,
,,,3.62,77.97,0.93,0.0,0.53,63.07,7.21,34.9,157.16,0.01,66.28,,,,,,
,,,3.63,85.17,0.83,0.0,0.7,74.25,7.91,39.06,141.04,0.01,65.78,,,,,,
,,,3.65,83.88,0.91,0.0,0.51,82.58,6.33,31.21,143.03,0.01,64.04,,,,,,
,,,3.67,85.21,0.9,0.0,0.67,86.9,5.53,32.44,111.11,0.01,67.89,,,,,,
,,,3.68,86.62,1.07,0.0,0.53,63.34,7.82,31.74,118.61,0.01,87.17,,,,,,
,,,3.7,93.66,0.96,0.0,0.75,66.52,6.13,39.82,111.26,0.01,57.83,,,,,,
,,,3.72,91.18,1.02,0.0,0.46,62.74,7.64,40.83,136.48,0.01,61.6,,,,,,
,,,3.73,80.74,0.66,0.0,0.7,65.48,6.26,34.9,175.06,0.01,78.59,,,,,,
,,,3.75,95.4,0.88,0.0,0.58,70.31,6.95,42.26,141.2,0.01,48.02,,,,,,
,,,3.77,102.26,0.86,0.0,0.62,53.41,5.79,36.62,135.12,0.01,64.34,,,,,,
,,,3.78,76.11,0.86,0.0,0.61,57.29,8.12,33.25,129.96,0.01,65.34,,,,,,
,,,3.8,84.74,0.9,0.0,0.75,50.14,6.21,33.62,108.54,0.01,53.98,,,,,,
,,,3.82,82.5,0.98,0.0,0.62,54.98,5.15,40.43,108.02,0.01,50.98,,,,,,
,,,3.83,60.71,1.0,0.0,0.59,56.39,5.97,37.69,119.32,0.01,61.96,,,,,,
,,,3.85,85.51,0.64,0.0,0.65,81.49,7.05,37.78,134.57,0.01,61.31,,,,,,
,,,3.87,75.65,0.91,0.0,0.59,75.77,6.35,40.21,139.14,0.01,64.44,,,,,,
,,,3.88,61.23,1.05,0.0,0.81,56.0,7.01,23.2,128.74,0.01,67.88,,,,,,
,,,3.9,94.11,0.9,0.0,0.48,55.21,6.65,39.53,124.1,0.01,67.26,,,,,,
,,,3.92,78.13,0.92,0.0,0.79,66.26,7.24,34.78,139.23,0.01,67.4,,,,,,
,,,3.93,88.42,0.57,0.0,0.59,80.19,5.66,30.26,109.58,0.01,95.19,,,,,,
,,,3.95,70.73,0.68,0.0,0.91,72.82,7.32,44.73,125.53,0.01,63.46,,,,,,
,,,3.97,57.73,0.63,0.0,0.74,45.22,7.93,32.43,150.36,0.01,78.33,,,,,,
,,,3.98,60.93,1.05,0.0,0.82,66.52,7.96,37.64,85.42,0.01,73.74,,,,,,
,,,4.0,59.27,0.76,0.0,0.52,61.17,5.25,42.55,122.3,0.01,75.11,,,,,,
,,,4.02,73.51,1.12,0.0,0.68,72.94,5.77,43.54,113.19,0.01,83.98,,,,,,
,,,4.03,70.23,1.01,0.0,0.62,64.87,7.17,32.18,112.34,0.01,52.71,,,,,,
,,,4.05,64.6,1.07,0.0,0.67,62.48,6.9,37.37,148.11,0.01,64.0,,,,,,
,,,4.07,81.25,0.82,0.0,0.51,76.71,6.86,36.66,141.21,0.01,79.43,,,,,,
,,,4.08,68.55,0.82,0.0,0.75,72.85,10.46,34.1,138.82,0.01,73.72,,,,,,
,,,4.1,66.91,0.8,0.0,0.79,68.3,5.73,37.11,110.06,0.01,58.73,,,,,,
,,,4.12,66.12,1.02,0.0,0.69,67.97,8.69,38.14,119.52,0.01,74.98,,,,,,
,,,4.13,78.43,0.79,0.0,0.65,51.29,8.82,40.93,165.41,0.01,67.03,,,,,,
