Time (h),OD 600,Product (kg),Time (h),DO (%),Glucose Delivered (kg),Feed Delivered (kg),CER (mmol/L*hr),Vessel Weight (kg),pH,Temperature (C),Agitation (RPM),Base Weight (kg),Vessel Volume (L),Time (h),Glucose (g/L),Dry Cell Weight (g/L),Product Concentration (g/L),Productivity (g/L/h),Yield (%)
,,,1.17,94.89,0.92,0,0.33,65.26,7.79,37,130.79,0.01,67.22,,,,,,
,,,1.18,94.81,0.92,0,0.33,65.26,7.7,36.99,130.8,0.01,67.22,,,,,,
,,,1.2,94.72,0.92,0,0.34,65.26,8.19,37,130.79,0.01,67.22,,,,,,
,,,1.22,94.64,0.92,0,0.34,65.26,7.58,37,130.8,0.01,67.22,,,,,,
,,,1.23,94.56,0.92,0,0.34,65.26,7.21,36.99,130.8,0.01,67.22,,,,,,
,,,1.25,94.47,0.92,0,0.34,65.26,7.33,37,130.79,0.01,67.22,,,,,,
,,,1.27,94.39,0.92,0,0.34,65.26,7.12,37,130.79,0.01,67.22,,,,,,
,,,1.28,94.31,0.92,0,0.34,65.26,7.32,37,130.79,0.01,67.22,,,,,,
,,,1.3,94.22,0.92,0,0.35,65.26,7.88,37,130.79,0.01,67.22,,,,,,
,,,1.32,94.14,0.92,0,0.35,65.26,8.1,37.01,130.79,0.01,67.22,,,,,,
,,,1.33,94.06,0.92,0,0.35,65.26,7.75,37,130.79,0.01,67.22,,,,,,
,,,1.35,93.97,0.92,0,0.35,65.26,7.96,36.99,130.79,0.01,67.22,,,,,,
,,,1.37,93.89,0.92,0,0.35,65.26,7.83,36.99,130.79,0.01,67.22,,,,,,
,,,1.38,93.81,0.92,0,0.36,65.26,8.13,37,130.79,0.01,67.22,,,,,,
,,,1.4,93.72,0.92,0,0.36,65.26,7.62,37,130.8,0.01,67.22,,,,,,
,,,1.42,93.64,0.92,0,0.36,65.26,7.58,37,130.78,0.04,67.22,,,,,,
,,,1.43,93.56,0.92,0,0.36,65.29,7.65,36.99,130.8,0.03,67.25,,,,,,
,,,1.45,93.47,0.92,0,0.36,65.28,7.09,36.99,130.79,0.03,67.24,,,,,,
,,,1.47,93.39,0.92,0,0.37,65.28,8.46,37.01,130.78,0.03,67.24,,,,,,
,,,1.48,93.31,0.92,0,0.37,65.28,7.08,37,130.78,0.03,67.24,,,,,,
,,,1.5,93.22,0.92,0,0.37,65.28,7.51,36.99,130.79,0.03,67.24,,,,,,
,,,1.52,93.14,0.92,0,0.37,65.28,7.79,37,130.78,0.03,67.24,,,,,,
,,,1.53,93.06,0.92,0,0.37,65.28,8.18,37.01,130.79,0.03,67.24,,,,,,
,,,1.55,92.97,0.92,0,0.37,65.28,7.52,37.01,130.8,0.03,67.24,,,,,,
,,,1.57,92.89,0.92,0,0.38,65.28,7.92,37.01,130.79,0.03,67.24,,,,,,
,,,1.58,92.81,0.92,0,0.38,65.28,7.9,37.01,130.8,0.03,67.24,,,,,,
,,,1.6,92.72,0.92,0,0.38,65.28,7.31,37,130.8,0.03,67.24,,,,,,
,,,1.62,92.64,0.92,0,0.38,65.28,8.03,37,130.79,0.03,67.24,,,,,,
,,,1.63,92.56,0.92,0,0.38,65.28,7.61,36.99,130.8,0.03,67.24,,,,,,
,,,1.65,92.47,0.92,0,0.39,65.28,7.52,37,130.8,0.03,67.24,,,,,,
,,,1.67,92.39,0.92,0,0.39,65.28,8,37,130.8,0.03,67.24,,,,,,
,,,1.68,92.31,0.92,0,0.39,65.28,7.23,37,130.79,0.03,67.24,,,,,,
,,,1.7,92.22,0.92,0,0.39,65.28,7.48,37,130.78,0.03,67.24,,,,,,
,,,1.72,92.14,0.92,0,0.39,65.28,7.68,36.99,130.79,0.03,67.24,,,,,,
,,,1.73,92.06,0.92,0,0.4,65.28,8.25,37,130.79,0.03,67.24,,,,,,
,,,1.75,91.97,0.92,0,0.4,65.28,7.83,37,130.79,0.03,67.24,,,,,,
,,,1.77,91.89,0.92,0,0.4,65.28,8.78,37.01,130.79,0.03,67.24,,,,,,
,,,1.78,91.81,0.92,0,0.4,65.28,7.3,36.99,130.79,0.03,67.24,,,,,,
,,,1.8,91.72,0.92,0,0.4,65.28,7.14,37,130.79,0.03,67.24,,,,,,
,,,1.82,91.64,0.92,0,0.4,65.28,7.6,37,130.78,0.03,67.24,,,,,,
,,,1.83,91.56,0.92,0,0.41,65.28,7.33,37,130.8,0.03,67.24,,,,,,
,,,1.85,91.47,0.92,0,0.41,65.28,7.81,37,130.78,0.03,67.24,,,,,,
,,,1.87,91.39,0.92,0,0.41,65.28,7.35,37,130.79,0.03,67.24,,,,,,
,,,1.88,91.31,0.92,0,0.41,65.28,7.35,36.98,130.79,0.03,67.24,,,,,,
,,,1.9,91.22,0.92,0,0.41,65.28,7.44,36.97,130.79,0.03,67.24,,,,,,
,,,1.92,91.14,0.92,0,0.42,65.28,7.36,36.97,130.79,0.03,67.24,,,,,,
,,,1.93,91.06,0.92,0,0.42,65.28,7.1,36.97,130.79,0.03,67.24,,,,,,
,,,1.95,90.97,0.92,0,0.42,65.28,7.53,36.98,130.79,0.03,67.24,,,,,,
,,,1.97,90.89,0.92,0,0.42,65.28,7.81,36.99,130.79,0.03,67.24,,,,,,
,,,1.98,90.81,0.92,0,0.42,65.28,6.75,37,130.8,0.03,67.24,,,,,,
,,,2,90.72,0.92,0,0.43,65.28,8.04,37,130.78,0.03,67.24,,,,,,
,,,2.02,90.64,0.92,0,0.43,65.28,7.34,37.01,130.78,0.03,67.24,,,,,,
,,,2.03,90.56,0.92,0,0.43,65.28,7.63,37.03,130.79,0.03,67.24,,,,,,
,,,2.05,90.47,0.92,0,0.43,65.28,6.9,37.03,130.79,0.03,67.24,,,,,,
,,,2.07,90.39,0.92,0,0.43,65.28,7.32,37.03,130.79,0.03,67.24,,,,,,
,,,2.08,90.31,0.92,0,0.43,65.28,7.38,37.03,130.79,0.03,67.24,,,,,,
,,,2.1,90.22,0.92,0,0.44,65.28,7.37,37.03,130.78,0.03,67.24,,,,,,
,,,2.12,90.14,0.92,0,0.44,65.28,6.51,37.04,130.79,0.03,67.24,,,,,,
,,,2.13,90.06,0.92,0,0.44,65.28,6.73,37.04,130.79,0.03,67.24,,,,,,
,,,2.15,89.97,0.92,0,0.44,65.28,7.42,37.03,130.78,0.03,67.24,,,,,,
,,,2.17,89.89,0.92,0,0.44,65.28,7.44,37.02,130.79,0.03,67.24,,,,,,
,,,2.18,89.81,0.92,0,0.45,65.28,7.12,37,130.79,0.03,67.24,,,,,,
,,,2.2,89.72,0.92,0,0.45,65.28,7.17,37,130.79,0.03,67.24,,,,,,
,,,2.22,89.64,0.92,0,0.45,65.28,7.24,37,130.79,0.03,67.24,,,,,,
,,,2.23,89.56,0.92,0,0.45,65.28,7.44,36.98,130.78,0.01,67.24,,,,,,
,,,2.25,89.47,0.92,0,0.45,65.26,6.75,36.99,130.79,0,67.22,,,,,,
,,,2.27,89.39,0.92,0,0.46,65.25,6.79,36.99,130.78,0.01,67.21,,,,,,
,,,2.28,89.31,0.92,0,0.46,65.26,7.05,36.99,130.78,0.02,67.22,,,,,,
,,,2.3,89.22,0.92,0,0.46,65.27,6.96,36.99,130.79,0.02,67.23,,,,,,
,,,2.32,89.14,0.92,0,0.46,65.27,7.31,37,130.79,0.02,67.23,,,,,,
,,,2.33,89.06,0.92,0,0.46,65.27,7.47,37,130.79,0.02,67.23,,,,,,
,,,2.35,88.97,0.92,0,0.46,65.27,7.1,37,130.78,0.02,67.23,,,,,,
,,,2.37,88.89,0.92,0,0.47,65.27,7.31,37,130.79,0.02,67.23,,,,,,
,,,2.38,88.81,0.92,0,0.47,65.27,7.31,37,130.78,0.02,67.23,,,,,,
,,,2.4,88.72,0.92,0,0.47,65.27,7.05,36.98,130.79,0.02,67.23,,,,,,
,,,2.42,88.64,0.92,0,0.47,65.27,6.81,36.99,130.79,0.02,67.23,,,,,,
,,,2.43,88.56,0.92,0,0.47,65.27,7.91,37,130.79,0.02,67.23,,,,,,
,,,2.45,88.47,0.92,0,0.48,65.27,7.71,37,130.79,0.02,67.23,,,,,,
,,,2.47,88.39,0.92,0,0.48,65.27,6.69,37.01,130.78,0.02,67.23,,,,,,
,,,2.48,88.31,0.92,0,0.48,65.27,7.44,37.02,130.79,0.02,67.23,,,,,,
,,,2.5,88.22,0.92,0,0.48,65.27,7.51,37.01,130.78,0.02,67.23,,,,,,
,,,2.52,88.14,0.92,0,0.48,65.27,7.33,37,130.77,0.02,67.23,,,,,,
,,,2.53,88.06,0.92,0,0.49,65.27,6.76,37,130.79,0.02,67.23,,,,,,
,,,2.55,87.97,0.92,0,0.49,65.27,6.64,37,130.78,0.02,67.23,,,,,,
,,,2.57,87.89,0.92,0,0.49,65.27,6.74,37,130.78,0.02,67.23,,,,,,
,,,2.58,87.81,0.92,0,0.49,65.27,7.6,37,130.78,0.02,67.23,,,,,,
,,,2.6,87.72,0.92,0,0.49,65.27,7.47,37,130.79,0.02,67.23,,,,,,
,,,2.62,87.64,0.92,0,0.49,65.27,7.14,36.99,130.78,0.02,67.23,,,,,,
,,,2.63,87.56,0.92,0,0.5,65.27,7.3,37,130.79,0.02,67.23,,,,,,
,,,2.65,87.47,0.92,0,0.5,65.27,7.29,37,130.78,0.02,67.23,,,,,,
,,,2.67,87.39,0.92,0,0.5,65.27,7.49,37,130.79,0.02,67.23,,,,,,
,,,2.68,87.31,0.92,0,0.5,65.27,7.7,37,130.77,0.02,67.23,,,,,,
,,,2.7,87.22,0.92,0,0.5,65.27,6.9,37.01,130.78,0,67.23,,,,,,
,,,2.72,87.14,0.92,0,0.51,65.25,7.83,37.01,130.77,0,67.21,,,,,,
,,,2.73,87.06,0.92,0,0.51,65.25,7.09,37.01,130.77,0,67.21,,,,,,
,,,2.75,86.97,0.92,0,0.51,65.25,6.98,37,130.79,0,67.21,,,,,,
,,,2.77,86.89,0.92,0,0.51,65.25,6.7,36.99,130.78,0,67.21,,,,,,
,,,2.78,86.81,0.92,0,0.51,65.25,7.4,37,130.77,0,67.21,,,,,,
,,,2.8,86.72,0.92,0,0.52,65.25,7.1,37,130.78,0,67.21,,,,,,
,,,2.82,86.64,0.92,0,0.52,65.25,7.95,36.99,130.77,0,67.21,,,,,,
,,,2.83,86.56,0.92,0,0.52,65.25,7.34,37.01,130.8,0,67.21,,,,,,
,,,2.85,86.47,0.92,0,0.52,65.25,7.4,37,130.78,0,67.21,,,,,,
,,,2.87,86.39,0.92,0,0.52,65.25,7.26,37,130.77,0,67.21,,,,,,
,,,2.88,86.31,0.92,0,0.52,65.25,6.58,37,130.77,0,67.21,,,,,,
,,,2.9,86.22,0.92,0,0.53,65.25,7.32,37.01,130.78,0,67.21,,,,,,
,,,2.92,86.14,0.92,0,0.53,65.25,7.46,37,130.77,0,67.21,,,,,,
,,,2.93,86.06,0.92,0,0.53,65.25,6.66,37,130.77,0,67.21,,,,,,
,,,2.95,85.97,0.92,0,0.53,65.25,6.85,37.01,130.78,0,67.21,,,,,,
,,,2.97,85.89,0.92,0,0.53,65.25,6.8,37,130.77,0,67.21,,,,,,
,,,2.98,85.81,0.92,0,0.54,65.25,6.95,37,130.77,0,67.21,,,,,,
,,,3,85.72,0.92,0,0.54,65.25,7.6,36.99,130.78,0,67.21,,,,,,
,,,3.02,85.64,0.92,0,0.54,65.25,6.99,37,130.77,0,67.21,,,,,,
,,,3.03,85.56,0.92,0,0.54,65.25,7.46,37,130.78,0,67.21,,,,,,
,,,3.05,85.47,0.92,0,0.54,65.25,7.23,37.01,130.78,0,67.21,,,,,,
,,,3.07,85.39,0.92,0,0.55,65.25,7.49,37,130.77,0,67.21,,,,,,
,,,3.08,85.31,0.92,0,0.55,65.25,7.65,37.01,130.77,0,67.21,,,,,,
,,,3.1,85.22,0.92,0,0.55,65.25,6.82,37,130.79,0,67.21,,,,,,
,,,3.12,85.14,0.92,0,0.55,65.25,6.47,37,130.77,0,67.21,,,,,,
,,,3.13,85.06,0.92,0,0.55,65.25,7.11,37,130.77,0,67.21,,,,,,
,,,3.15,84.97,0.92,0,0.55,65.25,6.78,37,130.78,0,67.21,,,,,,
,,,3.17,84.89,0.92,0,0.56,65.25,6.73,37,130.77,0,67.21,,,,,,
,,,3.18,84.81,0.92,0,0.56,65.25,6.54,37,130.77,0,67.21,,,,,,
,,,3.2,84.72,0.92,0,0.56,65.25,7.34,37,130.78,0,67.21,,,,,,
,,,3.22,84.64,0.92,0,0.56,65.25,7.24,37,130.77,0,67.21,,,,,,
,,,3.23,84.56,0.92,0,0.56,65.25,6.51,37,130.77,0,67.21,,,,,,
,,,3.25,84.47,0.92,0,0.57,65.25,6.9,37,130.77,0,67.21,,,,,,
,,,3.27,84.39,0.92,0,0.57,65.25,6.97,37,130.77,0,67.21,,,,,,
,,,3.28,84.31,0.92,0,0.57,65.25,6.69,37.01,130.77,0,67.21,,,,,,
,,,3.3,84.22,0.92,0,0.57,65.25,7.29,37,130.77,0,67.21,,,,,,
,,,3.32,84.14,0.92,0,0.57,65.25,7.87,37,130.77,0,67.21,,,,,,
,,,3.33,84.06,0.92,0,0.58,65.25,7.14,37,130.77,0,67.21,,,,,,
,,,3.35,83.97,0.92,0,0.58,65.25,7.56,37,130.76,0,67.21,,,,,,
,,,3.37,83.89,0.92,0,0.58,65.25,6.74,37.01,130.77,0,67.21,,,,,,
,,,3.38,83.81,0.92,0,0.58,65.25,7.29,37,130.77,0,67.21,,,,,,
,,,3.4,83.72,0.92,0,0.58,65.25,7.74,37.01,130.78,0,67.21,,,,,,
,,,3.42,83.64,0.92,0,0.58,65.25,7.37,37.01,130.77,0,67.21,,,,,,
,,,3.43,83.56,0.92,0,0.59,65.25,7.1,37,130.77,0,67.21,,,,,,
,,,3.45,83.47,0.92,0,0.59,65.25,6.63,37,130.77,0,67.21,,,,,,
,,,3.47,83.39,0.92,0,0.59,65.25,7.03,37,130.77,0.01,67.21,,,,,,
,,,3.48,83.31,0.92,0,0.59,65.26,7.09,37,130.76,0.01,67.22,,,,,,
,,,3.5,83.22,0.92,0,0.59,65.26,7.55,37,130.77,0.01,67.22,,,,,,
,,,3.52,83.14,0.92,0,0.6,65.26,7.93,37,130.79,0.01,67.22,,,,,,
,,,3.53,83.06,0.92,0,0.6,65.26,7.11,37,130.76,0.01,67.22,,,,,,
,,,3.55,82.97,0.92,0,0.6,65.26,6.74,37.01,130.76,0.01,67.22,,,,,,
,,,3.57,82.89,0.92,0,0.6,65.26,7.14,36.99,130.76,0.01,67.22,,,,,,
,,,3.58,82.81,0.92,0,0.6,65.26,7.01,36.99,130.76,0.01,67.22,,,,,,
,,,3.6,82.72,0.92,0,0.61,65.26,7.01,36.99,130.77,0.01,67.22,,,,,,
,,,3.62,82.64,0.92,0,0.61,65.26,6.72,37,130.76,0.01,67.22,,,,,,
,,,3.63,82.56,0.92,0,0.61,65.26,7.51,37,130.76,0.01,67.22,,,,,,
,,,3.65,82.47,0.92,0,0.61,65.26,6.5,37,130.76,0.01,67.22,,,,,,
,,,3.67,82.39,0.92,0,0.61,65.26,6.95,37,130.76,0.01,67.22,,,,,,
,,,3.68,82.31,0.92,0,0.61,65.26,6.87,37.01,130.76,0.01,67.22,,,,,,
,,,3.7,82.22,0.92,0,0.62,65.26,6.79,37,130.77,0.01,67.22,,,,,,
,,,3.72,82.14,0.92,0,0.62,65.26,6.7,37.01,130.76,0.01,67.22,,,,,,
,,,3.73,82.06,0.92,0,0.62,65.26,7.3,37.01,130.77,0.01,67.22,,,,,,
,,,3.75,81.97,0.92,0,0.62,65.26,7.59,37,130.76,0.01,67.22,,,,,,
,,,3.77,81.89,0.92,0,0.62,65.26,6.34,37,130.76,0.01,67.22,,,,,,
,,,3.78,81.81,0.92,0,0.63,65.26,6.64,37,130.76,0.01,67.22,,,,,,
,,,3.8,81.72,0.92,0,0.63,65.26,5.92,37,130.76,0.01,67.22,,,,,,
,,,3.82,81.64,0.92,0,0.63,65.26,7.31,37,130.76,0.01,67.22,,,,,,
,,,3.83,81.56,0.92,0,0.63,65.26,6.87,37,130.76,0.01,67.22,,,,,,
,,,3.85,81.47,0.92,0,0.63,65.26,6.96,36.99,130.77,0.01,67.22,,,,,,
,,,3.87,81.39,0.92,0,0.63,65.26,6.64,36.99,130.76,0.01,67.22,,,,,,
,,,3.88,81.31,0.92,0,0.64,65.26,7.33,37.01,130.76,0.01,67.22,,,,,,
,,,3.9,81.22,0.92,0,0.64,65.26,6.55,37,130.76,0.01,67.22,,,,,,
,,,3.92,81.14,0.92,0,0.64,65.26,7.39,37,130.76,0.01,67.22,,,,,,
,,,3.93,81.06,0.92,0,0.64,65.26,6.65,37,130.76,0.01,67.22,,,,,,
,,,3.95,80.97,0.92,0,0.64,65.26,6.53,36.99,130.76,0.01,67.22,,,,,,
,,,3.97,80.89,0.92,0,0.65,65.26,7.16,37,130.76,0.01,67.22,,,,,,
,,,3.98,80.81,0.92,0,0.65,65.26,6.91,37,130.76,0.01,67.22,,,,,,
,,,4,80.72,0.92,0,0.65,65.26,6.31,37,130.77,0.01,67.22,,,,,,
,,,4.02,80.47,0.92,0,0.66,65.26,7.07,37.01,130.76,0.01,67.22,,,,,,
,,,4.03,80.22,0.92,0,0.66,65.26,7.12,37.01,130.76,0.01,67.22,,,,,,
,,,4.05,79.97,0.92,0,0.67,65.26,6.95,37.01,130.76,0.01,67.22,,,,,,
,,,4.07,79.72,0.92,0,0.68,65.26,6.73,37,130.76,0.01,67.22,,,,,,
,,,4.08,79.47,0.92,0,0.68,65.26,7.33,37,130.76,0.01,67.22,,,,,,
,,,4.1,79.22,0.92,0,0.69,65.26,6.49,37,130.75,0.01,67.22,,,,,,
,,,4.12,78.97,0.92,0,0.7,65.26,6.99,36.99,130.76,0.01,67.22,,,,,,
,,,4.13,78.72,0.92,0,0.7,65.26,7.44,37.01,130.76,0.01,67.22,,,,,,
,,,4.15,78.47,0.92,0,0.71,65.26,7.05,37,130.76,0.01,67.22,,,,,,
,,,4.17,78.22,0.92,0,0.72,65.26,6.94,37,130.76,0.01,67.22,,,,,,
,,,4.18,77.97,0.92,0,0.73,65.26,6.78,37,130.76,0.01,67.22,,,,,,
,,,4.2,77.72,0.92,0,0.73,65.26,6.59,37.01,130.75,0.01,67.22,,,,,,
,,,4.22,77.47,0.92,0,0.74,65.26,6.5,37,130.75,0.01,67.22,,,,,,
,,,4.23,77.22,0.92,0,0.75,65.26,6.79,37.01,130.76,0.01,67.22,,,,,,
,,,4.25,76.97,0.92,0,0.75,65.26,7.19,37,130.75,0.01,67.22,,,,,,
,,,4.27,76.72,0.92,0,0.76,65.26,7.09,36.99,130.77,0.01,67.22,,,,,,
,,,4.28,76.47,0.92,0,0.77,65.26,7.36,36.99,130.76,0.01,67.22,,,,,,
,,,4.3,76.22,0.92,0,0.77,65.26,7.07,36.99,130.76,0.01,67.22,,,,,,
,,,4.32,75.97,0.92,0,0.78,65.26,7.38,37,130.75,0.01,67.22,,,,,,
,,,4.33,75.72,0.92,0,0.79,65.26,6.58,36.99,130.75,0.01,67.22,,,,,,
,,,4.35,75.47,0.92,0,0.79,65.26,7.01,37,130.75,0.01,67.22,,,,,,
,,,4.37,75.22,0.92,0,0.8,65.26,6.7,37,130.75,0.01,67.22,,,,,,
,,,4.38,74.97,0.92,0,0.81,65.26,7.36,37,130.75,0.01,67.22,,,,,,
,,,4.4,74.72,0.92,0,0.81,65.26,7.18,37,130.76,0.01,67.22,,,,,,
,,,4.42,74.47,0.92,0,0.82,65.26,7.29,37,130.76,0.01,67.22,,,,,,
,,,4.43,74.22,0.92,0,0.83,65.26,7.19,37,130.75,0.01,67.22,,,,,,
,,,4.45,73.97,0.92,0,0.84,65.26,7.2,37.01,130.75,0.01,67.22,,,,,,
,,,4.47,73.72,0.92,0,0.84,65.26,6.8,37.01,130.75,0.01,67.22,,,,,,
,,,4.48,73.47,0.92,0,0.85,65.26,7.05,37.02,130.76,0.01,67.22,,,,,,
,,,4.5,73.22,0.92,0,0.86,65.26,6.29,37.01,130.75,0.01,67.22,,,,,,
