Time (h),OD 600,Product (kg),Time (h).1,DO (%),Glucose Delivered (kg),Feed Delivered (kg),CER (mmol/L*hr),Vessel Weight (kg),pH,Temperature (C),Agitation (RPM),Base Weight (kg),Vessel Volume (L),Time (h).2,Glucose (g/L),Dry Cell Weight (g/L),Product Concentration (g/L),Productivity (g/L/h),Yield (%)
,,,0.42,91.01,0.91,0.0,0.25,70.73,8.66,32.21,135.66,0.0,60.4,,,,,,
,,,0.43,94.9,0.96,0.0,0.25,56.04,5.78,44.17,133.03,0.0,64.37,,,,,,
,,,0.45,99.05,0.77,0.0,0.27,62.87,7.26,34.36,130.74,0.0,72.73,,,,,,
,,,0.47,102.79,0.89,0.0,0.3,63.86,7.31,37.18,149.5,0.0,61.03,,,,,,
,,,0.48,107.21,0.9,0.0,0.26,79.43,6.55,38.2,125.2,0.0,59.51,,,,,,
,,,0.5,120.49,1.14,0.0,0.27,61.47,8.14,36.89,125.46,0.0,69.51,,,,,,
,,,0.52,100.09,0.81,0.0,0.32,61.49,7.58,38.17,111.3,0.0,62.18,,,,,,
,,,0.53,84.42,0.91,0.0,0.31,67.56,8.0,38.27,142.79,0.0,59.07,,,,,,
,,,0.55,87.7,0.89,0.0,0.28,62.27,8.78,38.92,111.11,0.0,66.78,,,,,,
,,,0.57,102.68,0.79,0.0,0.3,58.66,7.42,30.31,143.03,0.0,57.78,,,,,,
,,,0.58,89.7,0.94,0.0,0.22,52.78,6.99,32.65,121.68,0.0,63.27,,,,,,
,,,0.6,92.36,1.06,0.0,0.24,59.38,6.42,37.79,127.44,0.0,56.07,,,,,,
,,,0.62,97.07,0.87,0.0,0.24,61.76,8.4,35.3,127.34,0.0,69.07,,,,,,
,,,0.63,105.21,1.0,0.0,0.25,73.19,8.56,33.48,113.47,0.0,72.17,,,,,,
,,,0.65,118.43,0.92,0.0,0.28,57.27,8.66,34.71,125.98,0.0,52.62,,,,,,
,,,0.67,107.52,0.97,0.0,0.28,67.38,6.88,41.76,102.55,0.0,76.22,,,,,,
,,,0.68,107.74,0.88,0.0,0.25,66.27,6.47,34.32,132.55,0.0,64.97,,,,,,
,,,0.7,108.43,0.81,0.0,0.32,57.3,7.34,33.07,140.95,0.0,76.62,,,,,,
,,,0.72,101.63,0.87,0.0,0.35,57.03,7.64,32.87,156.01,0.0,78.47,,,,,,
,,,0.73,99.36,0.72,0.0,0.32,71.24,6.06,40.89,135.55,0.0,79.62,,,,,,
,,,0.75,91.43,0.86,0.0,0.26,64.87,7.68,37.99,117.41,0.0,71.19,,,,,,
,,,0.77,110.36,1.07,0.0,0.26,61.81,6.65,33.63,155.2,0.0,71.34,,,,,,
,,,0.78,93.62,0.94,0.0,0.32,71.05,8.61,35.61,124.69,0.0,69.49,,,,,,
,,,0.8,108.47,0.96,0.0,0.3,69.61,8.09,39.83,118.03,0.0,74.48,,,,,,
,,,0.82,102.09,0.93,0.0,0.34,56.51,6.38,39.82,130.09,0.0,79.83,,,,,,
,,,0.83,99.46,1.02,0.0,0.24,57.39,8.21,34.68,132.9,0.0,71.09,,,,,,
,,,0.85,101.5,1.01,0.0,0.32,56.8,7.74,35.33,123.02,0.0,64.18,,,,,,
,,,0.87,104.73,0.9,0.0,0.31,61.39,7.86,34.02,135.86,0.0,64.78,,,,,,
,,,0.88,96.91,0.97,0.0,0.33,62.79,7.33,40.62,121.68,0.0,64.92,,,,,,
,,,0.9,99.2,0.83,0.0,0.31,59.28,7.71,43.12,110.37,0.0,59.93,,,,,,
,,,0.92,98.0,0.84,0.0,0.29,49.49,7.56,36.09,129.57,0.0,62.01,,,,,,
,,,0.93,62.79,0.97,0.0,0.31,74.63,7.7,39.86,121.34,0.0,75.83,,,,,,
,,,0.95,87.72,0.86,0.0,0.33,77.38,7.33,37.23,134.91,0.0,75.43,,,,,,
,,,0.97,104.1,0.94,0.0,0.31,68.02,8.61,33.41,120.91,0.0,52.09,,,,,,
,,,0.98,89.81,0.93,0.0,0.29,63.14,8.02,32.9,134.1,0.0,65.85,,,,,,
,,,1.0,83.91,0.84,0.0,0.33,54.61,8.83,37.82,138.13,0.0,65.15,,,,,,
,,,1.02,81.04,1.06,0.0,0.34,68.96,7.26,40.92,142.71,0.0,64.52,,,,,,
,,,1.03,102.77,0.92,0.0,0.3,60.75,7.52,34.16,134.53,0.01,66.1,,,,,,
,,,1.05,96.62,0.89,0.0,0.32,58.12,7.59,41.11,140.22,0.01,60.34,,,,,,
,,,1.07,80.45,1.04,0.0,0.33,79.39,7.92,37.06,130.56,0.01,58.56,,,,,,
,,,1.08,94.63,0.82,0.0,0.37,71.88,8.41,34.34,132.71,0.01,68.93,,,,,,
,,,1.1,85.42,0.9,0.0,0.33,59.59,8.01,44.23,141.46,0.01,73.57,,,,,,
,,,1.12,70.96,1.13,0.0,0.34,69.24,6.19,35.91,138.79,0.01,70.17,,,,,,
,,,1.13,110.1,0.89,0.0,0.33,64.84,8.35,42.07,102.72,0.01,64.16,,,,,,
,,,1.15,91.81,0.96,0.0,0.32,70.16,7.61,32.31,163.04,0.01,71.78,,,,,,
,,,1.17,93.13,0.76,0.0,0.3,60.41,8.69,44.05,123.95,0.01,68.42,,,,,,
,,,1.18,76.75,0.98,0.0,0.27,62.91,7.77,36.61,157.0,0.01,68.36,,,,,,
,,,1.2,104.63,0.93,0.0,0.29,56.22,8.8,41.41,132.32,0.01,76.94,,,,,,
,,,1.22,85.53,0.9,0.0,0.36,60.86,7.08,40.32,131.24,0.01,60.36,,,,,,
,,,1.23,84.1,0.86,0.0,0.35,79.96,8.03,44.15,138.22,0.01,48.29,,,,,,
,,,1.25,103.21,0.86,0.0,0.34,62.1,8.69,41.48,148.11,0.01,64.19,,,,,,
,,,1.27,85.91,0.91,0.0,0.32,53.54,7.32,40.85,122.98,0.01,68.17,,,,,,
,,,1.28,91.2,1.19,0.0,0.27,65.27,7.2,37.1,120.29,0.01,54.74,,,,,,
,,,1.3,83.71,0.91,0.0,0.32,65.13,6.94,38.95,132.52,0.01,80.7,,,,,,
,,,1.32,99.1,0.73,0.0,0.34,58.97,7.3,31.36,117.23,0.01,75.63,,,,,,
,,,1.33,80.65,0.95,0.0,0.28,57.54,8.34,42.3,138.65,0.01,63.7,,,,,,
,,,1.35,79.09,0.91,0.0,0.34,72.8,10.2,40.66,119.13,0.01,66.18,,,,,,
,,,1.37,91.3,1.01,0.0,0.36,66.53,7.09,35.98,116.1,0.01,66.83,,,,,,
,,,1.38,103.55,1.02,0.0,0.39,51.66,8.68,38.25,146.37,0.01,62.32,,,,,,
,,,1.4,81.7,0.87,0.0,0.35,73.73,7.25,37.89,134.07,0.01,63.49,,,,,,
,,,1.42,83.97,1.0,0.0,0.35,71.41,6.88,37.58,126.96,0.03,61.08,,,,,,
,,,1.43,109.08,0.91,0.0,0.35,71.45,8.52,42.54,163.38,0.03,65.06,,,,,,
,,,1.45,98.71,0.72,0.0,0.35,61.06,6.44,34.84,128.39,0.03,64.17,,,,,,
,,,1.47,93.02,0.79,0.0,0.32,72.08,7.36,39.55,141.05,0.04,54.6,,,,,,
,,,1.48,79.77,1.05,0.0,0.35,66.45,5.42,36.59,132.75,0.03,59.6,,,,,,
,,,1.5,87.9,0.96,0.0,0.32,64.63,8.14,35.74,121.14,0.03,60.29,,,,,,
,,,1.52,88.64,0.94,0.0,0.34,72.34,9.01,36.25,122.49,0.03,57.2,,,,,,
,,,1.53,101.01,1.16,0.0,0.37,75.61,6.66,38.02,126.58,0.03,59.45,,,,,,
,,,1.55,91.3,1.0,0.0,0.41,81.11,7.66,39.52,109.1,0.03,58.4,,,,,,
,,,1.57,95.93,0.99,0.0,0.45,65.99,8.16,47.15,151.54,0.03,69.5,,,,,,
,,,1.58,94.71,1.06,0.0,0.33,66.75,8.84,32.82,149.88,0.03,80.46,,,,,,
,,,1.6,87.54,0.86,0.0,0.4,61.15,6.97,34.86,120.9,0.03,63.47,,,,,,
,,,1.62,113.38,0.94,0.0,0.43,65.28,7.47,33.21,126.19,0.04,77.17,,,,,,
,,,1.63,98.61,0.92,0.0,0.4,55.66,6.82,32.76,106.27,0.03,66.99,,,,,,
,,,1.65,93.55,0.8,0.0,0.39,71.26,8.62,33.58,141.86,0.03,59.15,,,,,,
,,,1.67,86.28,0.82,0.0,0.48,47.4,8.07,44.11,138.0,0.03,72.35,,,,,,
,,,1.68,87.7,0.8,0.0,0.46,60.2,8.4,33.96,145.68,0.02,61.68,,,,,,
,,,1.7,95.6,0.96,0.0,0.35,57.9,5.47,37.81,124.27,0.03,62.86,,,,,,
,,,1.72,99.39,0.95,0.0,0.39,70.31,7.83,41.4,124.54,0.03,53.27,,,,,,
,,,1.73,96.81,0.84,0.0,0.38,68.85,9.05,39.16,130.95,0.03,56.49,,,,,,
,,,1.75,86.46,0.9,0.0,0.41,84.13,7.03,34.7,133.08,0.03,65.02,,,,,,
,,,1.77,77.97,0.72,0.0,0.4,64.77,8.69,37.36,139.04,0.02,76.64,,,,,,
,,,1.78,97.4,0.77,0.0,0.49,75.55,7.99,37.65,128.44,0.03,71.89,,,,,,
,,,1.8,92.94,0.97,0.0,0.36,57.54,7.52,31.91,127.03,0.03,71.35,,,,,,
,,,1.82,88.78,1.02,0.0,0.42,61.87,7.77,36.43,131.07,0.03,55.83,,,,,,
,,,1.83,106.75,1.01,0.0,0.34,63.32,8.14,34.66,134.05,0.03,58.12,,,,,,
,,,1.85,75.03,0.92,0.0,0.44,63.16,9.56,34.71,140.62,0.03,63.66,,,,,,
,,,1.87,93.85,0.89,0.0,0.36,74.32,5.05,39.26,146.88,0.03,69.43,,,,,,
,,,1.88,81.42,0.93,0.0,0.44,73.62,6.66,38.32,116.3,0.03,73.89,,,,,,
,,,1.9,94.6,0.98,0.0,0.38,74.84,6.66,33.55,142.51,0.03,60.35,,,,,,
,,,1.92,86.91,0.85,0.0,0.43,63.83,6.85,36.19,136.11,0.03,74.53,,,,,,
,,,1.93,70.51,0.98,0.0,0.48,66.75,7.59,38.15,121.77,0.03,77.01,,,,,,
,,,1.95,82.62,0.8,0.0,0.48,75.95,7.09,34.68,112.38,0.03,64.53,,,,,,
,,,1.97,82.79,1.14,0.0,0.38,66.34,7.49,39.58,137.71,0.03,69.97,,,,,,
,,,1.98,90.9,0.91,0.0,0.39,62.94,7.53,38.29,112.08,0.03,65.26,,,,,,
,,,2.0,88.77,0.86,0.0,0.47,63.74,8.06,38.95,118.45,0.03,67.49,,,,,,
,,,2.02,94.47,0.84,0.0,0.44,63.83,7.53,34.14,126.78,0.03,69.11,,,,,,
,,,2.03,90.41,0.91,0.0,0.43,56.51,7.82,35.32,141.18,0.03,75.45,,,,,,
,,,2.05,82.88,0.93,0.0,0.41,75.71,7.06,36.98,143.66,0.03,66.62,,,,,,
,,,2.07,88.06,0.68,0.0,0.37,60.94,5.06,38.79,131.44,0.03,64.01,,,,,,
,,,2.08,79.6,0.62,0.0,0.42,55.52,7.55,34.21,139.93,0.03,56.12,,,,,,
,,,2.1,97.31,0.97,0.0,0.42,79.54,7.78,32.8,126.17,0.03,71.68,,,,,,
,,,2.12,106.91,1.09,0.0,0.47,56.49,5.94,44.23,130.88,0.03,69.16,,,,,,
,,,2.13,98.13,0.93,0.0,0.47,65.47,6.59,40.41,105.88,0.03,66.4,,,,,,
,,,2.15,77.05,0.97,0.0,0.39,61.6,7.64,33.46,125.44,0.03,69.1,,,,,,
,,,2.17,94.72,0.82,0.0,0.4,60.87,7.43,35.96,152.82,0.03,64.83,,,,,,
,,,2.18,92.8,0.86,0.0,0.45,66.56,7.47,31.28,127.99,0.03,63.13,,,,,,
,,,2.2,80.31,0.98,0.0,0.48,75.31,5.91,32.78,168.78,0.02,71.16,,,,,,
,,,2.22,74.51,0.87,0.0,0.44,71.79,7.28,32.19,114.95,0.02,64.19,,,,,,
,,,2.23,77.12,0.86,0.0,0.49,64.59,7.11,34.24,129.73,0.01,68.19,,,,,,
,,,2.25,80.09,0.93,0.0,0.4,67.28,6.99,39.94,147.51,0.0,60.03,,,,,,
,,,2.27,100.13,0.96,0.0,0.53,60.99,5.68,34.18,141.71,0.01,53.17,,,,,,
,,,2.28,92.83,0.87,0.0,0.47,77.95,5.44,36.56,145.84,0.02,57.48,,,,,,
,,,2.3,99.63,0.94,0.0,0.52,65.23,7.14,40.61,165.25,0.02,69.01,,,,,,
,,,2.32,93.4,0.77,0.0,0.4,63.04,6.56,38.54,116.29,0.02,63.15,,,,,,
,,,2.33,74.37,0.99,0.0,0.46,62.17,8.32,37.27,122.15,0.02,78.26,,,,,,
,,,2.35,68.54,0.86,0.0,0.5,63.17,7.98,43.06,125.19,0.02,73.01,,,,,,
,,,2.37,91.09,1.09,0.0,0.56,62.83,7.03,38.19,118.81,0.02,68.52,,,,,,
,,,2.38,78.4,0.96,0.0,0.42,68.35,6.99,37.02,119.84,0.02,71.95,,,,,,
,,,2.4,93.93,0.96,0.0,0.51,72.48,7.03,38.44,120.59,0.02,73.89,,,,,,
,,,2.42,87.46,0.89,0.0,0.48,64.35,6.61,42.4,134.27,0.02,69.05,,,,,,
,,,2.43,92.74,0.96,0.0,0.43,66.63,8.52,41.23,136.22,0.02,60.53,,,,,,
,,,2.45,93.97,1.0,0.0,0.54,75.7,7.12,33.25,134.15,0.02,81.27,,,,,,
,,,2.47,92.99,0.81,0.0,0.54,61.93,5.78,39.11,142.83,0.02,57.83,,,,,,
,,,2.48,88.84,0.92,0.0,0.56,61.44,6.84,37.26,123.69,0.02,71.52,,,,,,
,,,2.5,97.35,1.03,0.0,0.4,69.41,6.48,34.14,108.93,0.02,66.93,,,,,,
,,,2.52,82.31,1.02,0.0,0.49,70.69,6.47,38.38,134.13,0.02,59.67,,,,,,
,,,2.53,87.13,0.87,0.0,0.48,76.7,5.64,34.37,141.1,0.02,71.66,,,,,,
,,,2.55,92.11,0.86,0.0,0.52,73.26,7.21,38.53,122.19,0.02,66.05,,,,,,
,,,2.57,88.7,1.02,0.0,0.52,69.81,6.64,36.19,112.3,0.02,72.92,,,,,,
,,,2.58,95.1,0.92,0.0,0.52,53.38,7.89,36.61,122.6,0.02,60.36,,,,,,
,,,2.6,91.45,0.95,0.0,0.49,68.87,8.42,39.43,130.71,0.02,80.8,,,,,,
,,,2.62,92.96,1.01,0.0,0.5,59.88,7.15,30.59,122.06,0.02,59.82,,,,,,
,,,2.63,83.65,0.93,0.0,0.46,69.44,7.52,40.22,106.16,0.02,66.85,,,,,,
,,,2.65,89.87,0.94,0.0,0.57,70.8,8.14,39.04,99.24,0.02,73.39,,,,,,
,,,2.67,89.13,0.94,0.0,0.52,77.98,7.09,38.0,123.47,0.02,69.29,,,,,,
,,,2.68,71.42,0.91,0.0,0.46,62.37,6.27,38.16,126.39,0.02,70.56,,,,,,
,,,2.7,96.75,0.99,0.0,0.55,58.04,5.49,42.34,135.31,0.0,62.1,,,,,,
,,,2.72,97.99,0.99,0.0,0.47,56.56,8.15,39.56,111.52,0.0,57.67,,,,,,
,,,2.73,86.72,0.91,0.0,0.49,67.73,5.95,37.07,128.0,0.0,64.33,,,,,,
,,,2.75,80.9,0.7,0.0,0.5,57.66,6.85,41.4,132.06,0.0,54.41,,,,,,
,,,2.77,89.82,0.91,0.0,0.57,71.3,6.35,32.74,132.85,0.0,59.38,,,,,,
,,,2.78,80.76,0.74,0.0,0.51,60.42,7.48,38.4,120.45,0.0,72.17,,,,,,
,,,2.8,93.27,0.91,0.0,0.54,65.7,7.15,37.11,141.99,0.0,58.28,,,,,,
,,,2.82,90.78,0.94,0.0,0.49,62.96,7.5,37.58,132.01,0.0,64.02,,,,,,
,,,2.83,83.62,0.86,0.0,0.57,69.57,8.55,36.52,142.49,0.0,66.85,,,,,,
,,,2.85,74.14,1.05,0.0,0.52,68.73,6.71,41.59,119.01,0.0,66.66,,,,,,
,,,2.87,78.72,1.0,0.0,0.51,73.81,6.05,42.81,133.4,0.0,58.84,,,,,,
,,,2.88,108.73,0.96,0.0,0.59,55.53,6.56,39.29,131.91,0.0,58.28,,,,,,
,,,2.9,78.61,0.84,0.0,0.57,62.82,6.18,29.82,146.83,0.0,62.58,,,,,,
,,,2.92,80.54,0.93,0.0,0.39,65.12,7.58,35.69,137.3,0.0,63.7,,,,,,
,,,2.93,69.34,0.85,0.0,0.56,66.53,6.3,27.66,128.93,0.0,65.27,,,,,,
,,,2.95,97.33,0.9,0.0,0.43,57.81,7.96,41.02,127.58,0.0,80.2,,,,,,
,,,2.97,81.13,1.0,0.0,0.59,64.41,6.94,38.5,124.96,0.0,73.27,,,,,,
,,,2.98,85.81,0.84,0.0,0.57,55.13,7.94,41.11,137.61,0.0,72.41,,,,,,
,,,3.0,76.88,1.02,0.0,0.49,62.79,8.03,35.7,132.75,0.0,57.58,,,,,,
,,,3.02,87.85,0.96,0.0,0.54,54.49,6.88,40.21,133.86,0.0,62.92,,,,,,
,,,3.03,80.18,0.78,0.0,0.54,61.6,8.66,38.91,140.42,0.0,69.21,,,,,,
,,,3.05,80.0,0.92,0.0,0.48,55.76,6.78,32.25,136.67,0.0,75.46,,,,,,
,,,3.07,79.44,0.77,0.0,0.64,60.05,8.03,37.43,129.0,0.0,71.26,,,,,,
,,,3.08,85.23,0.96,0.0,0.54,56.18,9.35,41.62,135.97,0.0,70.32,,,,,,
,,,3.1,95.61,0.93,0.0,0.62,79.02,5.62,36.86,136.33,0.0,58.17,,,,,,
,,,3.12,79.76,1.0,0.0,0.58,54.78,6.14,35.6,125.6,0.0,66.98,,,,,,
,,,3.13,79.7,1.03,0.0,0.57,70.26,5.65,36.27,110.61,0.0,62.34,,,,,,
,,,3.15,91.96,1.05,0.0,0.49,51.84,6.99,39.03,117.72,0.0,63.6,,,,,,
,,,3.17,89.7,0.79,0.0,0.53,46.97,8.38,37.81,125.43,0.0,63.8,,,,,,
,,,3.18,86.55,0.97,0.0,0.47,58.21,7.59,43.27,143.84,0.0,63.18,,,,,,
,,,3.2,84.87,1.01,0.0,0.56,83.61,7.12,38.71,128.63,0.0,58.99,,,,,,
,,,3.22,74.34,0.73,0.0,0.58,62.99,6.87,40.13,151.08,0.0,71.61,,,,,,
,,,3.23,92.47,0.84,0.0,0.6,72.51,7.5,43.57,121.2,0.0,68.91,,,,,,
,,,3.25,84.27,0.76,0.0,0.54,53.43,7.29,39.48,145.42,0.0,72.14,,,,,,
,,,3.27,74.43,1.07,0.0,0.52,62.28,7.35,40.24,144.6,0.0,66.22,,,,,,
,,,3.28,74.36,0.97,0.0,0.62,52.11,7.98,33.79,122.9,0.0,56.68,,,,,,
,,,3.3,69.29,1.07,0.0,0.59,66.63,6.84,41.6,134.16,0.0,77.69,,,,,,
,,,3.32,92.63,0.92,0.0,0.52,59.9,6.59,35.73,132.45,0.0,71.59,,,,,,
,,,3.33,77.25,1.15,0.0,0.62,71.0,6.94,32.42,130.7,0.0,74.39,,,,,,
,,,3.35,104.28,0.82,0.0,0.55,62.38,7.74,34.41,124.69,0.0,79.29,,,,,,
,,,3.37,74.3,0.95,0.0,0.62,76.58,6.82,38.65,136.8,0.0,69.78,,,,,,
,,,3.38,68.86,0.88,0.0,0.67,58.6,6.71,32.56,145.83,0.0,68.25,,,,,,
,,,3.4,87.27,1.0,0.0,0.61,74.88,6.36,35.43,129.35,0.0,68.47,,,,,,
,,,3.42,64.52,1.03,0.0,0.49,63.2,7.45,44.35,148.45,0.0,66.85,,,,,,
,,,3.43,70.21,1.06,0.0,0.63,71.45,6.68,35.87,132.01,0.0,72.42,,,,,,
,,,3.45,77.76,0.95,0.0,0.52,50.15,6.4,37.95,127.51,0.0,65.34,,,,,,
,,,3.47,80.75,0.85,0.0,0.67,64.42,7.9,36.03,154.15,0.01,63.28,,,,,,
,,,3.48,75.23,0.94,0.0,0.6,67.91,7.25,38.88,131.52,0.01,72.02,,,,,,
,,,3.5,77.53,1.1,0.0,0.47,71.14,7.83,40.77,140.6,0.01,65.12,,,,,,
,,,3.52,74.63,1.0,0.0,0.63,63.87,7.12,38.44,139.38,0.01,58.53,,,,,,
,,,3.53,79.17,0.81,0.0,0.61,67.26,7.11,35.95,128.21,0.01,61.52,,,,,,
,,,3.55,87.01,0.84,0.0,0.52,54.8,7.07,37.99,118.41,0.01,54.1,,,,,,
,,,3.57,91.29,0.81,0.0,0.66,66.94,7.8,32.63,127.68,0.01,73.59,,,,,,
,,,3.58,82.61,0.94,0.0,0.7,67.65,6.41,34.52,134.78,0.01,62.96,,,,,,
,,,3.6,72.45,0.89,0.0,0.61,59.34,7.35,37.6,131.33,0.01,67.74,,,,,,
,,,3.62,67.74,0.79,0.0,0.57,57.32,6.53,36.73,150.6,0.01,70.63,,,,,,
,,,3.63,86.19,0.95,0.0,0.62,70.14,7.97,36.64,127.01,0.01,68.15,,,,,,
,,,3.65,73.89,0.88,0.0,0.63,75.17,6.55,34.85,141.34,0.01,67.55,,,,,,
,,,3.67,83.46,0.87,0.0,0.63,80.51,5.97,37.08,125.51,0.01,64.02,,,,,,
,,,3.68,88.63,0.95,0.0,0.58,64.57,7.12,34.22,128.53,0.01,83.0,,,,,,
,,,3.7,88.1,0.9,0.0,0.62,68.57,6.95,38.56,117.38,0.01,68.52,,,,,,
,,,3.72,85.94,0.88,0.0,0.52,62.17,7.11,36.5,139.0,0.01,67.37,,,,,,
,,,3.73,87.49,0.91,0.0,0.61,64.55,6.42,34.87,147.48,0.01,80.94,,,,,,
,,,3.75,77.98,0.94,0.0,0.63,59.84,8.33,39.7,129.45,0.01,58.95,,,,,,
,,,3.77,82.72,0.86,0.0,0.6,55.84,6.04,34.77,147.45,0.01,62.94,,,,,,
,,,3.78,73.02,0.83,0.0,0.63,63.28,7.26,35.24,119.16,0.01,62.36,,,,,,
,,,3.8,83.59,0.85,0.0,0.64,64.0,5.4,40.95,129.18,0.01,64.52,,,,,,
,,,3.82,83.03,1.06,0.0,0.6,62.22,5.38,35.38,119.36,0.01,67.95,,,,,,
,,,3.83,75.42,1.02,0.0,0.57,53.84,6.27,39.63,116.54,0.01,66.55,,,,,,
,,,3.85,81.24,0.68,0.0,0.61,78.44,6.53,39.93,135.15,0.01,63.08,,,,,,
,,,3.87,94.29,1.03,0.0,0.61,73.41,7.03,35.19,141.02,0.01,76.8,,,,,,
,,,3.88,78.23,0.99,0.0,0.68,55.56,7.07,35.5,121.09,0.01,68.91,,,,,,
,,,3.9,95.18,0.98,0.0,0.59,66.68,6.47,34.72,118.81,0.01,71.0,,,,,,
,,,3.92,87.11,0.98,0.0,0.72,65.62,7.36,35.78,135.13,0.01,63.05,,,,,,
,,,3.93,86.11,0.67,0.0,0.57,76.16,5.54,30.58,124.4,0.01,74.16,,,,,,
,,,3.95,91.1,0.73,0.0,0.75,63.33,7.38,42.12,125.67,0.01,74.37,,,,,,
,,,3.97,59.14,0.7,0.0,0.8,55.63,7.86,34.5,132.35,0.01,70.22,,,,,,
,,,3.98,73.43,0.96,0.0,0.69,61.52,7.23,33.47,102.15,0.01,66.18,,,,,,
,,,4.0,67.64,0.89,0.0,0.69,62.45,6.2,38.53,133.44,0.01,62.39,,,,,,
,,,4.02,84.24,0.97,0.0,0.64,67.04,6.26,39.65,113.22,0.01,78.36,,,,,,
,,,4.03,69.43,0.98,0.0,0.58,64.79,7.0,40.16,113.09,0.01,69.6,,,,,,
,,,4.05,67.84,1.05,0.0,0.64,59.84,7.2,40.27,134.02,0.01,64.45,,,,,,
,,,4.07,78.27,0.9,0.0,0.6,70.46,6.41,38.02,133.76,0.01,63.13,,,,,,
,,,4.08,81.19,0.89,0.0,0.73,72.37,8.52,36.53,132.61,0.01,73.11,,,,,,
,,,4.1,76.95,0.78,0.0,0.74,64.8,6.23,42.78,103.89,0.01,56.06,,,,,,
,,,4.12,73.73,0.84,0.0,0.63,70.14,7.74,39.11,123.66,0.01,71.21,,,,,,
,,,4.13,80.5,0.73,0.0,0.68,62.27,7.97,37.4,151.04,0.01,62.21,,,,,,
